j,multiset_upper_lower,multiset_upper_upper,distinct_upper_lower,distinct_upper_upper
2,0.327499296320588354265620209196,0.327499296320588354265620209197,0.195814145608493620668859043892,0.195814145608493620668859043893
3,0.163749648160294177132810104598,0.163749648160294177132810104599,0.061272069240187294249248167742,0.061272069240187294249248167743
4,0.112379991826645660133924140552,0.112379991826645660133924140553,0.030680940869797659890336693541,0.030680940869797659890336693542
5,0.093649993188871383444936783793,0.093649993188871383444936783794,0.020246895973808650752464739138,0.020246895973808650752464739139
6,0.084284993869984245100443105414,0.084284993869984245100443105415,0.015108695931649484790551745308,0.015108695931649484790551745309
7,0.078665994278651962093746898386,0.078665994278651962093746898387,0.012050543146876113090500730681,0.012050543146876113090500730682
8,0.074919994551097106755949427034,0.074919994551097106755949427035,0.010021990883470284622008558612,0.010021990883470284622008558613
9,0.072244280459986495800379804640,0.072244280459986495800379804641,0.008577996670912483481626518835,0.008577996670912483481626518836
10,0.070237494891653537583702587845,0.070237494891653537583702587846,0.007497707673115990053222943696,0.007497707673115990053222943697
11,0.068676661671839014526286974781,0.068676661671839014526286974782,0.006659081504270827141737199291,0.006659081504270827141737199292
12,0.067427995095987396080354484331,0.067427995095987396080354484332,0.005989185106666798509670437887,0.005989185106666798509670437888
13,0.066406358806654253715500628508,0.066406358806654253715500628509,0.005441750855771673280508675615,0.005441750855771673280508675616
14,0.065554995232209968411455748655,0.065554995232209968411455748656,0.004986010565518883924529227851,0.004986010565518883924529227852
15,0.064834610669218650077263927241,0.064834610669218650077263927242,0.004600706739524191195477568515,0.004600706739524191195477568516
16,0.064217138186654662933670937458,0.064217138186654662933670937459,0.004270681390082912181841519704,0.004270681390082912181841519705
17,0.063681995368432540742557012979,0.063681995368432540742557012980,0.003984834766765319367634381512,0.003984834766765319367634381513
18,0.063213745402488183825332329060,0.063213745402488183825332329061,0.003734852420731557611856114030,0.003734852420731557611856114031
19,0.062800583667831398310134078543,0.062800583667831398310134078544,0.003514383119376714090968327333,0.003514383119376714090968327334
20,0.062433328792580922296624522528,0.062433328792580922296624522529,0.003318491698788673604256370559,0.003318491698788673604256370560
21,0.062104732325251549021379130305,0.062104732325251549021379130306,0.003143285242747954781466541582,0.003143285242747954781466541583
22,0.061808995504655113073658277303,0.061808995504655113073658277304,0.002985651742857391624868118180,0.002985651742857391624868118181
23,0.061541424095544051978101315064,0.061541424095544051978101315065,0.002843073639494333539662055085,0.002843073639494333539662055086
24,0.061298177359988541891231349392,0.061298177359988541891231349393,0.002713492353218209099796223816,0.002713492353218209099796223817
25,0.061076082514481337029306598126,0.061076082514481337029306598127,0.002595208247524605797758690878,0.002595208247524605797758690879
26,0.060872495572766399239208909465,0.060872495572766399239208909466,0.002486805663104127275877293010,0.002486805663104127275877293011
27,0.060685195586388656472319035898,0.060685195586388656472319035899,0.002387095986827225581650945530,0.002387095986827225581650945531
28,0.060512303291270740072112998758,0.060512303291270740072112998759,0.002295073888808122835272952387,0.002295073888808122835272952388
29,0.060352217832828224886737038444,0.060352217832828224886737038445,0.002209883306056968496270282236,0.002209883306056968496270282237
30,0.060203567049988746500316503867,0.060203567049988746500316503868,0.002130790730881188361947260953,0.002130790730881188361947260954
31,0.060065168045276128692269799260,0.060065168045276128692269799261,0.002057164037193480004934626217,0.002057164037193480004934626218
32,0.059935995640877685404759541627,0.059935995640877685404759541628,0.001988455549978798199231553286,0.001988455549978798199231553287
33,0.059815156939988819103540268358,0.059815156939988819103540268359,0.001924188397944027398817262017,0.001924188397944027398817262018
34,0.059701870657905506946147199668,0.059701870657905506946147199669,0.001863945429815449927536799241,0.001863945429815449927536799242
35,0.059595450211099971283141589686,0.059595450211099971283141589687,0.001807360149497082182620954598,0.001807360149497082182620954599
36,0.059495289790577114188548074409,0.059495289790577114188548074410,0.001754109253712961386862932902,0.001754109253712961386862932903
37,0.059400852822655563213645617148,0.059400852822655563213645617149,0.001703906451090496231498663744,0.001703906451090496231498663745
38,0.059311662352951876181793296402,0.059311662352951876181793296403,0.001656497313103037715636042750,0.001656497313103037715636042751
39,0.059227292989718658719230290290,0.059227292989718658719230290291,0.001611654961340439139063238667,0.001611654961340439139063238668
40,0.059147364119287189544170600290,0.059147364119287189544170600291,0.001569176436805438214441435863,0.001569176436805438214441435864
41,0.059071534165288103403729355931,0.059071534165288103403729355932,0.001528879628633812515928808788,0.001528879628633812515928808789
42,0.058999495708988971570310173789,0.058999495708988971570310173790,0.001490600664193219376942629571,0.001490600664193219376942629572
43,0.058930971323728821777545585899,0.058930971323728821777545585900,0.001454191681674200177079972446,0.001454191681674200177079972447
44,0.058865710004433441022531692670,0.058865710004433441022531692671,0.001419518921334162475901837609,0.001419518921334162475901837610
45,0.058803484095337845418913794474,0.058803484095337845418913794475,0.001386461083448678491292045536,0.001386461083448678491292045537
46,0.058744086636655685979096709834,0.058744086636655685979096709835,0.001354907910481900800097400949,0.001354907910481900800097400950
47,0.058687329065026066958827051177,0.058687329065026066958827051178,0.001324758958551360271149131999,0.001324758958551360271149132000
48,0.058633039213902083548134334201,0.058633039213902083548134334202,0.001295922529344149456557745800,0.001295922529344149456557745801
49,0.058581059569208907942151945606,0.058581059569208907942151945607,0.001268314738557167649645035812,0.001268314738557167649645035813
50,0.058531245743044614653085489870,0.058531245743044614653085489871,0.001241858700926943509023110605,0.001241858700926943509023110606
51,0.058483465134274782314593175185,0.058483465134274782314593175186,0.001216483815173119977352713946,0.001216483815173119977352713947
52,0.058437595749855743269640553087,0.058437595749855743269640553088,0.001192125134851013431186625004,0.001192125134851013431186625005
53,0.058393525164825686148019406365,0.058393525164825686148019406366,0.001168722813308024574014533696,0.001168722813308024574014533697
54,0.058351149602296785069537534517,0.058351149602296785069537534518,0.001146221612756948413709266473,0.001146221612756948413709266474
55,0.058310373117599163277036110663,0.058310373117599163277036110664,0.001124570468988390467964486337,0.001124570468988390467964486338
56,0.058271106873075527476849554360,0.058271106873075527476849554361,0.001103722104501851894467010687,0.001103722104501851894467010688
57,0.058233268491989114796669781922,0.058233268491989114796669781923,0.001083632683886429748744798718,0.001083632683886429748744798719
58,0.058196781481655788283639287071,0.058196781481655788283639287072,0.001064261506164309898852319370,0.001064261506164309898852319371
59,0.058161574717299069718434423619,0.058161574717299069718434423620,0.001045570729553016121516925281,0.001045570729553016121516925282
60,0.058127581979299479379615934768,0.058127581979299479379615934769,0.001027525124729786571545377184,0.001027525124729786571545377185
61,0.058094741537503264984486208251,0.058094741537503264984486208252,0.001010091853213053557042487384,0.001010091853213053557042487385
62,0.058062995777100257735860805951,0.058062995777100257735860805952,0.000993240267927787380948481059,0.000993240267927787380948481060
63,0.058032290861300627774075580776,0.058032290861300627774075580777,0.000976941733406527939673218738,0.000976941733406527939673218739
64,0.058002576426655824585251169317,0.058002576426655824585251169318,0.000961169463407040742312217924,0.000961169463407040742312217925
65,0.057973805307396570704008485205,0.057973805307396570704008485206,0.000945898374009586375188700163,0.000945898374009586375188700164
66,0.057945933285614168506554634972,0.057945933285614168506554634973,0.000931104950499144253436390590,0.000931104950499144253436390591
67,0.057918918864501994069022441669,0.057918918864501994069022441670,0.000916767126546696149472232662,0.000916767126546696149472232663
68,0.057892723062211400675051829981,0.057892723062211400675051829982,0.000902864174383946027125873691,0.000902864174383946027125873692
69,0.057867309224168287680901236552,0.057867309224168287680901236553,0.000889376604821886699709572667,0.000889376604821886699709572668
70,0.057842642851949972127755072342,0.057842642851949972127755072343,0.000876286076098988165720700256,0.000876286076098988165720700257
71,0.057818691447042332387743579559,0.057818691447042332387743579560,0.000863575310662475346141886026,0.000863575310662475346141886027
72,0.057795424367989196640303843712,0.057795424367989196640303843713,0.000851228019088710996381390627,0.000851228019088710996381390628
73,0.057772812699613614012510297607,0.057772812699613614012510297608,0.000839228830438237657322939570,0.000839228830438237657322939571
74,0.057750829133137353124377683339,0.057750829133137353124377683340,0.000827563228419369077648580933,0.000827563228419369077648580934
75,0.057729447856153592534550072201,0.057729447856153592534550072202,0.000816217492802892291315183187,0.000816217492802892291315183188
76,0.057708644451520744393096180283,0.057708644451520744393096180284,0.000805178645590753712870632261,0.000805178645590753712870632262
77,0.057688395804344772202081058816,0.057688395804344772202081058817,0.000794434401494671580956215971,0.000794434401494671580956215972
78,0.057668680016305009805566335283,0.057668680016305009805566335284,0.000783973122327396638123924363,0.000783973122327396638123924364
79,0.057649476326655890588181864309,0.057649476326655890588181864310,0.000773783774950650521510732704,0.000773783774950650521510732705
80,0.057630765039305466735345713103,0.057630765039305466735345713104,0.000763855892460309024618738667,0.000763855892460309024618738668
81,0.057612527455432268802834527751,0.057612527455432268802834527752,0.000754179538321769415712074514,0.000754179538321769415712074515
82,0.057594745811155900818636122032,0.057594745811155900818636122033,0.000744745273197168458508894116,0.000744745273197168458508894117
83,0.057577403219824628340220392998,0.057577403219824628340220392999,0.000735544124231650953182790375,0.000735544124231650953182790376
84,0.057560483618525825922253828087,0.057560483618525825922253828088,0.000726567556588617330521661405,0.000726567556588617330521661406
85,0.057543971718463139225202120162,0.057543971718463139225202120163,0.000717807447044141218406792178,0.000717807447044141218406792179
86,0.057527852958878135544746881473,0.057527852958878135544746881474,0.000709256059468837776353771688,0.000709256059468837776353771689
87,0.057512113464224543715596471929,0.057512113464224543715596471930,0.000700906022041636729224653356,0.000700906022041636729224653357
88,0.057496740004330337742937932375,0.057496740004330337742937932376,0.000692750306054393456660526640,0.000692750306054393456660526641
89,0.057481719957307262942064646604,0.057481719957307262942064646605,0.000684782206179252022910394426,0.000684782206179252022910394427
90,0.057467041274989258023029390055,0.057467041274989258023029390056,0.000676995322082326107098160237,0.000676995322082326107098160238
91,0.057452692450700871192062341518,0.057452692450700871192062341519,0.000669383541277736780844872051,0.000669383541277736780844872052
92,0.057438662489174448512894560726,0.057438662489174448512894560727,0.000661941023125471075101213291,0.000661941023125471075101213292
93,0.057424940878450804354148049842,0.057424940878450804354148049843,0.000654662183885017520388234476,0.000654662183885017520388234477
94,0.057411517563612456807548202238,0.057411517563612456807548202239,0.000647541682744395786195853477,0.000647541682744395786195853478
95,0.057398382922211493079154802970,0.057398382922211493079154802971,0.000640574408751116630489737797,0.000640574408751116630489737798
96,0.057385527741265869004557007941,0.057385527741265869004557007942,0.000633755468577864570032709038,0.000633755468577864570032709039
97,0.057372943195708573857845482281,0.057372943195708573857845482282,0.000627080175061358817708133465,0.000627080175061358817708133466
98,0.057360620828183722360023780073,0.057360620828183722360023780074,0.000620544036457979920104123135,0.000620544036457979920104123136
99,0.057348552530092372954940669663,0.057348552530092372954940669664,0.000614142746364404968791379754,0.000614142746364404968791379755
100,0.057336730523798806190777622730,0.057336730523798806190777622731,0.000607872174255721898587450373,0.000607872174255721898587450374
